matricula;status;lat;lon
3307PNS;1;37;3
8821DTE;0;39.1402;108.705
2688WXL;1;37;3
3365CAQ;3;37;3
5589JTN;3;37;3
3033GDS;2;37;3
5663QMP;0;39.1402;108.705
2802YPB;3;37;3
1116AYC;3;37;3
3531KBG;0;39.1402;108.705
8220KYR;1;37;3
5286ZHC;3;37;3
2135FIP;3;37;3
6830JLE;2;37;3
0788QVP;2;37;3
3676PMY;0;39.1402;108.705
7110OYT;0;39.1402;108.705
4292NTD;0;39.1402;108.705
4353ZUV;0;39.1402;108.705
6437PTV;2;37;3
8048KPZ;1;37;3
6463BYP;0;39.1402;108.705
4877AQV;1;37;3
9316HZP;0;71;110
0218ZIU;2;37;3
3610CXA;1;37;3
2035OGW;1;37;3
9700JNJ;2;37;3
4027YUW;2;37;3
1576AXF;0;71;110
4774USN;1;37;3
4598YHI;1;37;3
0549DGW;2;37;3
8645QOK;3;37;3
4335AKO;2;37;3
2398WDB;0;96;111
6080LQE;3;37;3
8071DNF;3;37;3
0539ELS;3;37;3
2400QPF;1;37;3
8595OAS;0;96;111
8574XFL;3;37;3
9171NLT;0;96;111
5736KTQ;1;37;3
5054COG;1;37;3
8797JHT;2;37;3
8703NTK;2;37;3
2767XGY;3;37;3
8097NWA;2;37;3
4014HKJ;2;37;3
4002QEI;2;37;3
4133BDI;3;37;3
7750MKP;3;37;3
1683ACV;2;37;3
6641XRG;1;37;3
0097BBF;2;37;3
9647ZLN;1;37;3
2598RXK;3;37;3
5697TGI;1;37;3
3457HTI;1;37;3
4874IIZ;0;96;111
3905IVN;3;37;3
8304FRP;3;37;3
9397ZHV;0;96;111
9771IRH;0;96;111
8558LSN;2;37;3
3554SAN;1;37;3
7334RFT;2;37;3
7952HGM;3;37;3
5770ZTC;2;37;3
8953JEG;3;37;3
5810GHO;3;37;3
7974HQN;1;37;3
1278LMH;0;96;111
8611IGI;0;96;111
6873KAF;1;37;3
8007BKK;0;96;111
7409JOD;2;37;3
0348BIE;2;37;3
2703ZRD;3;37;3
2534UYH;1;37;3
9735HKJ;1;37;3
5198EQP;3;37;3
6661GME;3;37;3
7673PGH;0;96;111
6985VUY;1;37;3
0018YWI;0;96;111
2952YYK;1;37;3
6024TDO;3;37;3
7458SNE;2;37;3
5352TRC;2;37;3
8660CKW;3;37;3
5232DFN;3;37;3
5120KPN;2;37;3
3461WXR;2;37;3
9192GWZ;3;37;3
6990EZN;1;37;3
3432OND;3;37;3
0380JGQ;0;96;111
6005EKI;1;37;3
0183RWF;2;37;3
3221ALY;2;37;3
7727WOH;2;37;3
8898BQK;2;37;3
9371TTK;1;37;3
7711AUV;1;37;3
5065YOL;0;96;111
8055RUL;0;96;111
2643VCF;0;96;111
3609BTV;3;37;3
5160NFL;2;37;3
1137JKF;2;37;3
8461DCM;3;37;3
3299SCQ;3;37;3
4737CKF;3;37;3
5761SMD;0;96;111
8647TTJ;1;37;3
9265BQB;1;37;3
5242BYO;3;37;3
3590GET;1;37;3
0528UBI;3;37;3
4618IKE;0;96;111
1340RQO;2;37;3
3965HCH;1;37;3
0011KLW;2;37;3
4440SZD;2;37;3
4720WJV;3;37;3
3376NJO;1;37;3
0785MYI;1;37;3
1973NHR;0;96;111
7656QKP;0;96;111
8648HEM;1;37;3
9588GCG;1;37;3
1219ABB;2;37;3
3077AGK;0;96;111
0128FPA;1;37;3
0893BNV;0;96;111
3810WVM;0;96;111
7372OYN;0;96;111
1412QQI;3;37;3
2665FGI;3;37;3
5332DZV;0;96;111
8531VVC;3;37;3
1839RGL;1;37;3
3948CMF;3;37;3
4279OTL;2;37;3
7100YRZ;1;37;3
6201SGL;1;37;3
1729FGO;0;96;111
3503HGH;2;37;3
5628FGY;2;37;3
0672VCI;1;37;3
6278DGO;0;96;111
6898QYI;3;37;3
1180BNZ;1;37;3
9396HPW;3;37;3
8267OGT;3;37;3
6096VMS;2;37;3
5245CZW;1;37;3
2218VAL;1;37;3
3773SEZ;2;37;3
1535AQY;0;96;111
8319KSJ;3;37;3
3320ASW;3;37;3
8904ISC;0;96;111
0123YOS;2;37;3
2106NOM;2;37;3
8618CJT;2;37;3
9274VBW;1;37;3
1213ASY;1;37;3
7181JJQ;0;96;111
0167BZV;1;37;3
9240PRF;1;37;3
1780UGT;3;37;3
3531UGY;3;37;3
6972AND;1;37;3
6877STT;1;37;3
1565YZN;3;37;3
8496ZHB;2;37;3
6055TFI;0;96;111
6624ZPV;0;96;111
8409QBU;1;37;3
1246LIU;3;37;3
8621LHO;0;96;111
4425RZY;3;37;3
1147GNV;2;37;3
6389QTG;2;37;3
0445XBQ;0;96;111
8723XMW;2;37;3
0071BPS;2;37;3
8673VWY;1;37;3
4588IXQ;0;96;111
8045DIC;2;37;3
8237FAQ;0;96;111
3693SXT;0;96;111
8414DXC;1;37;3
8713JML;1;37;3
7757NFE;2;37;3
7388YHN;0;96;111
9922ILS;1;37;3
3348MPQ;1;37;3
3232JJR;2;37;3
1415SNY;3;37;3
8054OGU;0;96;111
0423OZI;0;96;111
4486VYL;1;37;3
1987QNL;2;37;3
1125GFW;2;37;3
4724ZCS;1;37;3
3734MHT;3;37;3
1383WCI;1;37;3
9173XAB;3;37;3
1525BYW;2;37;3
0438NNJ;0;96;111
7796XGX;2;37;3
7551IIJ;2;37;3
6381XIB;2;37;3
2333UGF;1;37;3
3801TGV;1;37;3
5956UQS;1;37;3
1754NVY;2;37;3
3605FEB;0;96;111
8213ITO;2;37;3
6622URZ;0;96;111
6189FPN;2;37;3
8429RHR;1;37;3
6461SIS;1;37;3
3841FVG;0;96;111
0603ZJC;0;96;111
4990MVC;1;37;3
9235OIA;2;37;3
2542SLU;2;37;3
2661HLL;3;37;3
2725PMV;3;37;3
9705MUZ;0;96;111
3979UYG;1;37;3
1044LDU;0;96;111
1471JPH;2;37;3
3073NCJ;2;37;3
4190DCN;3;37;3
9686JTV;0;96;111
7366CDG;0;96;111
9299IQB;0;96;111
8626WVP;1;37;3
9115RTL;2;37;3
0929OVX;1;37;3
6110BBM;0;96;111
2075SIY;3;37;3
1876HNZ;0;96;111
1814BCX;1;37;3
7056NXS;0;96;111
0999VLE;2;37;3
0873GWX;0;96;111
2047OSE;0;96;111
7087PXY;3;37;3
9048GGW;1;37;3
3170WZU;3;37;3
3941ENJ;0;96;111
8372QXC;2;37;3
8827ECL;2;37;3
0164ATN;1;37;3
2972PFD;2;37;3
7111DPV;2;37;3
1069PSQ;0;96;111
0857YZU;0;96;111
8431VKN;2;37;3
5391IKE;3;37;3
5102IBD;2;37;3
1966PVO;2;37;3
7376RMN;1;37;3
3893KFK;0;96;111
8275JYK;1;37;3
0927JVD;2;37;3
8527GLG;1;37;3
4143CJR;1;37;3
9241QKM;1;37;3
6598MKD;1;37;3
4548HYV;2;37;3
2528UWK;3;37;3
1421CUB;2;37;3
0674SCJ;0;96;111
4716ZYZ;0;96;111
7831LHJ;0;96;111
4274MBS;3;37;3
6167UAZ;3;37;3
2137IOC;1;37;3
4103RID;0;96;111
9686FMM;1;37;3
5358WBJ;2;37;3
6938OHV;3;37;3
0278MOY;0;96;111
2147HGU;0;96;111
6522JQH;2;37;3
5824STJ;0;96;111
9855NBR;0;96;111
9261AGR;1;37;3
9653SFI;3;37;3
4401LLG;0;96;111
6482RGE;3;37;3
0616PNH;2;37;3
0932EVP;1;37;3
1519YXB;0;96;111
1284YJG;0;96;111
3928TAR;1;37;3
0081XSC;2;37;3
8878PHU;1;37;3
4698ZQQ;2;37;3
3764HIY;3;37;3
6703LJO;3;37;3
5224QJE;2;37;3
0597RUJ;0;96;111
5205PIS;1;37;3
3006USD;1;37;3
9930WOV;3;37;3
9691DCH;2;37;3
4797PCT;0;96;111
0225OQN;3;37;3
4783AVD;2;37;3
9448TVS;2;37;3
5317SEB;0;96;111
2662DFR;1;37;3
0016MAX;3;37;3
8142OEA;2;37;3
9896QXF;2;37;3
7068EEE;1;37;3
1645MOG;0;96;111
3875AHU;3;37;3
9085UGV;0;96;111
7093ENH;0;96;111
6865ZQJ;1;37;3
3431PPF;2;37;3
9770AZJ;3;37;3
9157XQD;0;96;111
0725HNT;0;96;111
7106SSZ;1;37;3
2597OIZ;0;96;111
2337EEE;3;37;3
2584BUS;2;37;3
0912YNK;2;37;3
1484TGQ;1;37;3
8228PQC;1;37;3
3394LRU;1;37;3
6956RYH;0;96;111
1055GSZ;0;96;111
7976OOY;0;96;111
7623IQT;3;37;3
0338CZG;0;96;111
0109BKN;3;37;3
9103EPH;0;96;111
1367DHI;3;37;3
8350EOA;3;37;3
1332AON;0;96;111
1320MNF;1;37;3
7574LBU;3;37;3
5158HWG;2;37;3
4568ZMU;2;37;3
8887CBS;3;37;3
7323TFB;2;37;3
8804AOL;0;96;111
5353GVG;1;37;3
9091JVT;2;37;3
9539UTV;1;37;3
3970LNS;1;37;3
6827NBM;0;96;111
5450SDS;3;37;3
7154EAC;0;96;111
4829DKC;2;37;3
7282USN;0;96;111
2918CNS;2;37;3
6501WIF;1;37;3
1339OQM;3;37;3
1714ZNZ;1;37;3
6038PES;2;37;3
7863TMF;1;37;3
7669GTW;1;37;3
9725DBF;2;37;3
6022FFA;2;37;3
8604VVO;2;37;3
8680XZZ;0;96;111
4686CWH;1;37;3
5477BAG;3;37;3
2032AEN;3;37;3
5296YFM;3;37;3
8755VEF;1;37;3
4327ZFZ;0;96;111
7038ADO;2;37;3
0507MFR;1;37;3
5770UAD;0;96;111
3039BVM;1;37;3
1641HSG;1;37;3
3721DKT;0;96;111
8691XIL;1;37;3
3069QAI;0;96;111
7691LHS;1;37;3
5504XLK;0;96;111
4683VSX;1;37;3
9669PIQ;1;37;3
4274NOO;3;37;3
1839BQH;0;96;111
8175KZH;0;96;111
2241ZVP;3;37;3
0095VVL;0;96;111
5015ZVK;2;37;3
4258JSI;2;37;3
3934CGF;1;37;3
5598WEL;0;96;111
7252AES;0;96;111
5768GKG;1;37;3
8289QYD;0;96;111
9275MGP;0;96;111
1217GZV;1;37;3
1531JTE;2;37;3
6133YNN;1;37;3
9641HSG;2;37;3
6799SQV;2;37;3
1294OHZ;1;37;3
5681PXQ;2;37;3
9048HDS;2;37;3
7136XTO;3;37;3
3414ALH;0;96;111
3830DWF;3;37;3
4070IRT;2;37;3
9591PZS;1;37;3
4817IGX;3;37;3
2801CLM;2;37;3
8767ADK;2;37;3
5006LUF;3;37;3
3214FQB;0;96;111
4870SHO;0;96;111
6896TQO;2;37;3
7180FUS;2;37;3
2432BHH;3;37;3
3134NAF;2;37;3
6157SCN;2;37;3
1974BUV;2;37;3
9783JRD;0;96;111
5610VRZ;0;96;111
9506RLF;2;37;3
4152SZU;0;96;111
0873LQX;2;37;3
7908CBR;1;37;3
9777OBU;0;96;111
7507NLP;0;96;111
5617WNC;0;96;111
7626TUQ;1;37;3
2232HQL;2;37;3
4118WXP;0;96;111
3147JJU;3;37;3
5420XPM;0;96;111
9212EHP;0;96;111
2468ZJH;3;37;3
0052CAS;0;96;111
4885SPY;3;37;3
8914RGY;2;37;3
5630YVJ;2;37;3
2561GQA;2;37;3
7088CVC;0;96;111
7682KDB;1;37;3
1057JLD;1;37;3
4614AXZ;1;37;3
3102YGP;3;37;3
6701HVH;2;37;3
5416IFG;3;37;3
5495IVK;1;37;3
9992KQV;3;37;3
8889BXC;1;37;3
9630PPK;1;37;3
1303BKN;1;37;3
5855PIS;3;37;3
4479UEC;0;96;111
3503SXC;0;96;111
8523ZPP;1;37;3
8585CLO;3;37;3
3353EKV;2;37;3
0454YAD;3;37;3
4632ZFZ;1;37;3
9045NMN;2;37;3
4131WXL;3;37;3
3726ZYY;3;37;3
4540EUQ;3;37;3
0293XTZ;0;96;111
1013YAL;0;96;111
9145DGP;2;37;3
5386CMX;3;37;3
1922DAR;0;96;111
3689JXD;1;37;3
7915FMV;3;37;3
7191ZKB;0;96;111
9669SEE;3;37;3
6059LGZ;1;37;3
9428NBX;1;37;3
9168QQW;2;37;3
0077BME;1;37;3
2266LVV;0;96;111
8466CSZ;2;37;3
3590HIO;3;37;3
6762ZXG;3;37;3
2161EKH;1;37;3
2301LTJ;0;96;111
6842XAA;1;37;3
3172ALU;2;37;3
8400NEN;0;96;111
7084WFU;0;96;111
4923XHA;2;37;3
3185WTV;1;37;3
7777FYS;1;37;3
6458TRF;3;37;3
1001DWQ;3;37;3
2050BCE;3;37;3
5193ZCK;3;37;3
7117JMD;1;37;3
9656CFI;2;37;3
6205XOW;1;37;3
2253KSB;3;37;3
0376KPJ;0;96;111
6718DMK;1;37;3
7104QUX;2;37;3
3842SIN;1;37;3
6198LYS;0;96;111
3295ZGL;0;96;111
5359HDU;2;37;3
0029CXA;3;37;3
7566UTG;0;96;111
7674RWT;1;37;3
4416AAY;2;37;3
9885EVO;1;37;3
5095CDH;1;37;3
6507FYV;1;37;3
1429VDU;0;96;111
7737QNG;0;96;111
0210ENV;3;37;3
6538VTX;1;37;3
5078XLQ;3;37;3
2515IRA;3;37;3
4260LLR;2;37;3
0009COI;0;96;111
1932PPB;1;37;3
8385TBQ;0;96;111
2352IYO;3;37;3
3118ZAK;2;37;3
8656JWN;2;37;3
9667TWR;3;37;3
7091XCH;3;37;3
1127RRJ;0;96;111
6982KFR;1;37;3
0411NGU;1;37;3
4428PXW;1;37;3
3343IUN;1;37;3
3646DYA;3;37;3
8562UFH;2;37;3
5762JIO;0;96;111
4400NHG;3;37;3
3759SNC;3;37;3
6802MVY;1;37;3
9319CSA;0;96;111
0955KLU;0;96;111
3676OID;2;37;3
5429VQV;3;37;3
1306WCN;2;37;3
7624WSA;2;37;3
3657HMG;3;37;3
2765TYH;0;96;111
3375DJG;0;96;111
7095YDX;0;96;111
1287ZXP;3;37;3
3580CXE;0;96;111
5505KYU;1;37;3
9349KAV;1;37;3
2232NWV;3;37;3
8640VKG;1;37;3
7073KNV;3;37;3
3217QKB;2;37;3
7511WKZ;0;96;111
3892WTG;3;37;3
0173SHH;3;37;3
9812BXF;0;96;111
7376HFZ;1;37;3
4601TLK;2;37;3
8580IWN;1;37;3
5744BOL;0;96;111
5726WEH;1;37;3
5315PPD;2;37;3
6370IDQ;1;37;3
1734JOS;0;96;111
9890TOF;3;37;3
3172TXF;0;96;111
4889QJR;0;96;111
8868ZUA;0;96;111
8205YIE;2;37;3
5605HQC;1;37;3
9776XOO;3;37;3
1113UDT;0;96;111
6857ZBR;3;37;3
6596PCM;1;37;3
2223KUX;3;37;3
3530YSL;1;37;3
5074CCS;3;37;3
4847OEX;3;37;3
1174LRH;1;37;3
8295KOI;1;37;3
3529KYW;0;96;111
0717ZSQ;0;96;111
5265PHL;3;37;3
1116AMA;0;96;111
4675DAG;3;37;3
5252VFB;2;37;3
8482WYQ;2;37;3
4961PVS;1;37;3
0116FZP;0;96;111
1499OLO;0;96;111
0068SDF;0;96;111
5308HQP;2;37;3
5617JBU;1;37;3
6355JDI;2;37;3
3483URN;2;37;3
3044TPB;2;37;3
0135ISM;3;37;3
6516UYH;0;96;111
2508XCP;0;96;111
8403AWH;2;37;3
8969JKP;0;96;111
4445OVB;2;37;3
4336QNX;1;37;3
8826JVR;1;37;3
6661DOY;2;37;3
5391JQE;0;96;111
1683QGG;1;37;3
1137MGJ;1;37;3
9010HWY;0;96;111
